frb_name,b_kpc,z_gal,logmass,dm_cos_delta
FRB20200906A,1344.000559337726,0.074955,10.822272254619163,79.30925823113476
FRB20200906A,1722.6322911859925,0.104984,10.211604453445691,79.30925823113476
FRB20200906A,1600.2838673994959,0.173128,10.737882737529848,79.30925823113476
FRB20200906A,1616.1613738881388,0.217222,10.134372607028931,79.30925823113476
FRB20200906A,1197.7076193065736,0.11554,10.41568038076238,79.30925823113476
FRB20200906A,1733.4201034457692,0.187685,10.02853587311119,79.30925823113476
FRB20200906A,1184.9330850622177,0.1756,10.875285203275723,79.30925823113476
FRB20200906A,1962.648436279696,0.250114,11.128378017444916,79.30925823113476
FRB20200906A,1895.9371337438088,0.238995,10.989921952252741,79.30925823113476
FRB20200906A,1498.487286125019,0.196075,10.409191638232077,79.30925823113476
FRB20200906A,1220.7925698588406,0.225615,10.614394437286519,79.30925823113476
FRB20200906A,1980.3394436809083,0.21909,10.929017890882001,79.30925823113476
FRB20200906A,1960.7621203298418,0.241075,11.402032348770014,79.30925823113476
FRB20200906A,1485.3753937951362,0.180956,10.063216665860873,79.30925823113476
FRB20200906A,1931.293925832076,0.220817,11.32095708610786,79.30925823113476
FRB20200906A,1336.931616445197,0.186657,10.210551954950748,79.30925823113476
FRB20200906A,1348.5066957002846,0.134572,10.353026132497035,79.30925823113476
FRB20200906A,1519.9226137531423,0.191547,10.812980142936574,79.30925823113476
FRB20200906A,1358.1666903609812,0.280445,10.162473284843967,79.30925823113476
FRB20200906A,1041.7157550439406,0.230677,10.449223898188075,79.30925823113476
FRB20200906A,1031.2646584606894,0.289491,11.433548751727963,79.30925823113476
FRB20200906A,305.8226333366191,0.203733,10.405653986684417,79.30925823113476
FRB20200906A,1430.1432951345812,0.241577,11.054154629414562,79.30925823113476
FRB20200906A,1434.1238134403825,0.291704,11.016447897128117,79.30925823113476
FRB20200906A,1156.6964280831442,0.279583,11.234924885736929,79.30925823113476
FRB20200906A,951.0130886837019,0.232313,10.95130326486354,79.30925823113476
FRB20200906A,1700.1498493112001,0.292906,11.119975652450675,79.30925823113476
FRB20200906A,1509.1457894282084,0.198503,10.8933142531671,79.30925823113476
FRB20200906A,453.71266490577653,0.15404,10.304198731831349,79.30925823113476
FRB20200906A,735.7028526678596,0.266594,11.024158610705209,79.30925823113476
FRB20200906A,315.72234770739533,0.293769,10.903950766801342,79.30925823113476
FRB20200906A,594.2196580001338,0.26067,10.645685852221826,79.30925823113476
FRB20200906A,946.5931553436626,0.214147,10.567724769874543,79.30925823113476
FRB20200906A,1146.9447089972032,0.233073,11.27898735915724,79.30925823113476
FRB20200906A,943.5193828041364,0.203513,11.412662997299893,79.30925823113476
FRB20200906A,795.6339607368529,0.179174,10.20166705450893,79.30925823113476
FRB20200906A,1395.3102394794466,0.13033,10.711206517502825,79.30925823113476
FRB20200906A,1761.223313034293,0.169172,10.607094461817443,79.30925823113476
